cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana
1992,80,0,69,0,5
2005,50,0,44,0,0
2005,90,0,29,0,0
2009,70,0,75,0,6
2007,50,0,20,0,5
2001,50,0,54,1,5
2006,90,1,29,0,6
2005,90,0,54,0,5
2007,90,1,59,0,1
2006,90,1,44,0,0
2002,50,0,74,0,5
2000,50,0,59,0,5
1996,50,0,34,0,6
2009,50,0,29,0,5
2007,120,0,34,0,6
1997,50,0,44,1,1
1998,100,1,20,0,0
2000,90,0,34,0,5
2007,50,0,34,0,0
1991,40,0,20,1,0
2005,50,0,29,0,0
2000,120,1,29,0,6
1997,50,0,34,0,6
2004,50,0,49,1,5
2009,50,1,17,0,1
2002,50,0,44,0,5
2007,50,1,44,0,5
1995,50,0,49,0,1
2005,80,0,20,0,1
2002,120,0,24,0,1
2004,50,0,29,1,1
2006,50,0,75,0,1
1999,50,1,54,1,0
2005,90,0,29,0,5
2005,50,1,34,0,5
1996,120,0,24,0,1
2000,120,0,39,0,1
2007,60,0,59,0,6
1981,50,0,24,0,0
1999,50,1,29,1,5
2002,50,0,54,0,5
2007,50,0,39,0,5
2000,50,0,24,0,1
2000,50,0,54,1,1
1998,50,1,54,0,0
2007,50,0,59,1,5
2006,50,0,75,0,6
2007,50,0,17,0,0
1996,90,0,29,0,0
2002,50,0,39,0,6
2008,90,0,17,0,1
1995,80,0,34,0,5
1997,90,0,44,0,0
1995,90,0,24,0,1
1998,120,0,49,0,5
2009,50,0,59,0,6
2007,50,0,54,0,6
2006,50,0,24,0,6
1988,50,0,75,0,1
2001,50,0,24,0,5
1999,50,0,49,0,0
1998,50,0,24,0,0
1982,40,0,59,0,1
2003,50,0,39,0,6
1993,90,1,20,0,0
1999,50,1,24,0,6
2006,50,0,44,0,1
2002,100,0,49,0,6
1994,50,0,24,0,0
2008,90,0,54,0,6
2007,120,0,49,0,5
2002,120,0,49,0,6
2007,50,1,59,0,1
