cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia
1981,50,50,0,24,0,0,0,2,50,0,1
1999,50,50,1,29,1,5,0,1,50,0,6
2002,50,50,0,54,0,5,1,2,50,0,6
2007,50,50,0,39,0,5,1,2,50,0,1
2000,50,50,0,24,0,1,0,2,50,0,1
2000,50,50,0,54,1,1,0,2,50,0,1
1998,50,50,1,54,0,0,0,2,50,0,2
2007,50,50,0,59,1,5,0,2,50,0,1
2006,50,90,0,75,0,6,0,1,50,0,1
2007,50,50,0,17,0,0,0,2,50,0,1
1996,90,90,0,29,0,0,0,1,90,0,1
2002,50,50,0,39,0,6,0,2,50,0,1
2008,90,90,0,17,0,1,0,1,90,0,1
1995,80,80,0,34,0,5,0,2,80,0,1
1997,90,90,0,44,0,0,0,2,90,0,2
1995,90,90,0,24,0,1,0,1,90,0,4
1998,120,120,0,49,0,5,0,0,120,0,1
2009,50,50,0,59,0,6,0,2,50,0,2
2007,50,50,0,54,0,6,0,1,50,0,1
2006,50,50,0,24,0,6,0,1,50,0,1
1988,50,50,0,75,0,1,0,1,50,0,1
2001,50,50,0,24,0,5,0,2,50,0,1
1999,50,50,0,49,0,0,0,2,50,0,2
1998,50,50,0,24,0,0,0,2,50,0,3
1982,40,90,0,59,0,1,0,1,40,0,1
2003,50,50,0,39,0,6,0,2,50,0,1
1993,90,90,1,20,0,0,0,1,90,0,1
1999,50,50,1,24,0,6,0,2,50,0,2
2006,50,50,0,44,0,1,0,1,50,0,0
2002,100,100,0,49,0,6,0,1,100,0,1
1994,50,50,0,24,0,0,0,2,50,0,1
2008,90,90,0,54,0,6,0,1,90,0,1
2007,120,120,0,49,0,5,0,0,120,0,1
2002,120,120,0,49,0,6,0,0,120,0,1
2007,50,50,1,59,0,1,0,1,50,0,1
2003,50,50,1,39,0,1,0,1,50,0,1
2000,100,100,0,29,0,5,0,1,100,0,1
2000,50,50,0,24,0,0,0,2,50,0,3
1998,50,50,0,29,0,6,0,1,50,0,1
2001,50,50,0,34,0,6,0,1,50,0,1
2000,50,50,0,34,0,5,0,2,50,1,0
2005,50,50,0,49,0,6,1,2,50,0,1
2002,80,80,0,49,0,6,0,0,80,1,0
2009,100,100,0,54,0,6,0,1,100,0,1
2003,60,120,0,29,1,5,0,0,60,0,2
2005,50,50,0,49,0,1,0,2,50,0,1
1998,90,90,0,44,1,6,0,2,90,0,1
2006,90,90,0,49,0,0,0,1,90,0,2
2008,50,50,0,54,0,1,0,2,50,0,1
2004,50,50,0,17,0,6,0,2,50,0,1
