cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aCaracterísticasTecnicas1,aCondAderência,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,pAcessóriosPassageiro,pLesõesa30dias
1999,50,50,1,49,1,0,0,4,0,2,0,7,0,1,16,0,0
2010,50,50,1,44,1,0,0,4,0,4,0,5,0,1,7,0,0
2006,120,120,0,24,1,0,0,0,0,2,1,6,0,0,16,0,0
2015,120,120,0,74,1,0,0,0,0,2,1,7,0,1,8,0,0
2002,70,70,0,69,1,2,0,4,0,3,0,7,0,1,5,1,0
1995,50,50,0,20,1,0,1,1,0,4,0,6,0,0,8,0,0
1996,50,50,0,20,1,0,0,1,0,2,0,6,0,0,3,0,0
2004,50,50,0,59,1,0,0,4,0,2,0,6,0,0,9,0,0
2005,50,50,0,24,1,0,0,1,0,1,0,6,0,0,9,0,0
2000,50,50,0,29,1,0,2,1,0,1,0,7,0,1,5,0,0
2016,50,50,0,59,1,0,0,1,0,1,0,6,0,0,8,0,0
2003,50,50,0,54,1,0,0,1,0,2,0,5,0,0,8,0,0
2007,50,50,1,59,1,0,0,1,0,2,0,6,0,0,5,0,0
2013,50,50,0,29,1,0,0,1,0,1,0,6,0,0,8,0,0
2003,100,120,0,54,1,0,0,0,0,1,1,6,0,0,9,0,0
2014,90,90,0,74,1,0,0,4,0,1,0,6,0,0,9,0,0
1994,120,120,1,49,1,0,0,0,0,3,1,6,0,0,9,0,0
1993,50,50,0,75,1,0,0,1,0,4,0,6,0,0,7,1,0
1998,50,50,1,34,1,0,0,1,0,3,0,6,0,0,9,0,0
2002,50,50,1,39,1,0,0,1,0,1,0,6,0,0,5,1,0
1988,50,50,0,74,1,0,0,1,0,1,2,6,0,0,9,4,0
1998,50,50,0,20,1,0,0,1,6,2,0,6,0,0,7,4,3
1986,50,50,1,54,1,0,0,1,0,1,2,6,0,0,11,1,0
1993,80,80,0,74,1,0,0,6,0,1,2,7,0,1,3,0,0
2001,50,50,1,29,1,0,0,1,0,1,2,6,0,0,9,0,0
2016,50,50,0,44,1,0,0,1,0,2,0,6,0,0,8,0,0
1995,120,120,0,34,1,0,0,0,0,2,1,6,0,0,16,0,0
1998,50,50,1,69,1,2,0,3,0,1,0,7,0,1,7,0,0
1991,50,50,0,39,1,0,0,1,0,1,0,6,0,0,8,0,0
1999,50,50,0,75,1,2,0,4,0,2,0,7,0,0,7,0,0
2001,50,50,0,29,1,0,0,1,0,1,0,6,0,0,8,1,0
1997,50,50,0,44,1,1,0,1,0,1,0,6,0,0,15,0,0
2008,60,90,1,49,1,0,0,6,0,2,2,6,0,0,4,0,0
2012,50,50,1,44,1,0,0,1,1,0,2,7,0,1,10,1,3
1994,50,50,0,34,1,0,0,1,0,2,0,6,0,0,9,0,0
2010,50,90,0,39,1,0,0,4,0,1,0,7,0,0,6,0,0
2016,120,120,0,44,1,0,0,0,0,1,1,6,0,0,9,4,0
2011,50,50,1,34,1,0,0,3,0,2,0,6,0,0,16,0,0
1992,90,90,0,75,1,0,0,4,1,0,0,6,0,0,10,0,3
2000,50,50,1,44,1,0,0,1,0,3,0,6,0,0,8,1,0
2015,50,50,0,24,1,0,0,3,0,1,0,6,0,0,9,0,0
2007,90,90,1,54,1,0,0,6,0,3,0,6,0,0,9,0,0
2001,120,120,0,54,1,0,0,0,0,1,1,6,0,0,9,0,0
2000,50,50,0,24,1,0,0,1,0,1,0,6,0,0,9,0,0
