
1990,50,50,1,54,1,0,0,1,0,1,2,6,0
2007,50,50,0,49,1,0,0,1,0,1,0,6,0
1997,120,120,0,49,1,0,0,0,0,1,1,6,0
2011,50,50,0,24,1,0,0,1,0,3,0,7,0
2001,50,50,0,39,1,0,0,1,0,1,0,7,0
2006,50,50,0,39,1,0,0,1,0,1,0,6,0
2001,60,90,1,34,1,0,0,1,0,2,0,7,0
2000,50,50,0,49,1,0,0,1,0,1,0,6,0
2001,50,50,0,34,1,0,0,1,0,2,0,6,0
2000,50,50,0,49,1,0,0,1,0,1,0,6,0
1999,90,90,0,54,1,0,0,0,0,1,1,6,0
2004,50,50,0,39,1,0,0,1,0,1,0,5,0
1999,80,80,1,29,1,0,0,4,1,0,0,6,0
2011,50,50,0,34,1,0,0,1,0,1,0,6,0
2012,50,50,1,29,1,0,0,1,0,1,0,6,0
2001,50,50,0,74,1,0,0,1,0,1,0,6,0
2009,50,50,0,29,1,0,2,1,0,1,0,6,0
2009,50,50,0,29,1,0,0,1,0,1,0,6,0
1991,50,50,1,75,1,0,0,1,0,1,0,6,0
2010,50,50,0,39,1,0,0,1,0,1,0,6,0
2007,50,50,1,34,1,0,0,1,0,0,0,6,1
1997,50,50,0,44,1,0,0,1,0,2,0,6,0
2007,90,90,1,44,1,0,0,4,0,2,0,6,0
1992,50,50,0,29,1,0,2,1,0,1,0,6,0
2009,90,90,1,69,1,0,0,4,0,1,2,6,0
2000,50,50,1,39,1,0,0,1,0,1,0,5,0
1996,50,50,0,34,1,1,0,1,0,1,0,5,0
1996,50,50,0,44,1,0,0,1,0,1,0,6,0
1994,90,90,0,59,1,0,0,4,0,1,0,6,0
2007,70,120,0,59,1,0,0,0,0,2,1,6,0
2007,50,50,1,29,1,0,0,1,0,1,0,7,0
2001,50,50,0,44,1,0,0,4,0,1,0,5,0
2003,50,90,0,44,1,0,0,4,0,2,0,6,0
1995,50,50,0,39,1,0,0,4,0,1,0,6,0
2005,50,50,1,49,1,0,0,1,0,1,0,7,0
1981,50,50,0,54,1,0,0,4,0,1,0,6,0
1999,80,100,1,20,1,0,0,6,0,2,2,6,0
1999,90,90,0,44,1,0,0,4,0,1,0,5,0
1999,50,50,0,34,1,0,0,1,0,1,0,6,0
2000,50,50,1,39,1,0,0,1,0,1,0,6,0
2001,120,120,0,34,1,0,0,0,0,1,1,6,0
1991,50,50,0,39,1,0,0,1,0,1,0,6,0
2007,50,50,0,20,1,0,2,1,1,0,0,6,0
1998,50,50,1,24,1,0,0,3,0,1,0,7,0
1999,60,90,1,29,1,0,0,3,0,1,0,5,0
2001,50,50,0,44,1,0,0,1,0,1,0,6,0
2007,50,50,0,29,1,0,0,1,0,1,0,6,0
2004,50,50,0,49,1,0,0,1,0,2,0,6,0
1999,50,50,0,74,1,0,0,1,0,1,2,7,0
2012,50,50,1,34,1,0,0,4,0,1,0,7,0
2000,50,50,0,24,1,0,0,4,0,1,0,5,0
2001,70,100,1,29,1,0,0,0,0,1,1,7,0
