cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade
2007,50,0,29
1997,120,0,29
1999,120,0,54
1990,50,0,54
2008,120,0,34
2007,50,0,29
2003,50,0,39
1997,50,0,34
2002,50,0,39
1998,50,0,29
2001,50,1,39
2000,50,0,17
1992,40,1,20
2001,50,0,54
1998,50,0,49
2009,50,0,29
1998,50,1,29
1996,50,0,34
1986,50,0,59
1993,50,0,20
2000,100,0,54
1999,50,1,39
2005,50,1,44
2003,90,1,49
2000,50,0,20
1999,50,0,39
2000,50,0,29
2006,50,0,29
2001,50,1,20
1974,50,0,59
1993,50,0,59
2002,120,1,34
1997,50,0,49
1994,90,0,75
1985,50,0,54
2009,50,0,29
2006,90,0,20
2000,50,1,59
2002,50,0,75
2006,50,0,49
2004,90,1,44
1986,90,0,74
2010,50,0,29
2005,50,0,54
2001,50,0,39
1995,50,0,54
1999,50,1,39
2010,50,1,29
1994,50,0,34
2000,50,1,24
2002,50,0,44
1993,50,1,24
2001,50,1,20
2007,50,0,24
2008,90,0,59
1994,50,0,69
1992,50,1,24
1999,50,0,29
1995,120,0,34
1973,50,0,75
1995,50,1,24
2003,50,1,34
2004,120,0,69
2003,50,0,34
1992,50,0,49
1994,50,0,29
1998,50,0,49
1992,50,0,39
2007,120,0,54
2006,50,0,39
2004,90,0,39
2000,120,0,34
1994,50,0,34
2000,50,1,49
2009,50,0,39
2002,50,0,39
2009,50,1,29
2005,50,0,49
1999,50,0,24
2000,50,1,39
1993,50,1,54
2003,50,0,34
1998,50,0,29
1989,50,0,69
1998,90,1,49
2005,50,1,59
1975,50,0,44
1994,50,0,54
2007,90,1,74
1999,50,0,39
2007,50,0,29
2009,50,0,24
1997,50,1,29
1995,90,0,49
1993,50,0,44
2009,50,0,49
1997,50,1,34
1998,70,0,29
1991,40,1,44
1999,50,1,39
2008,50,0,34
1991,50,0,24
2003,50,0,44
1996,90,1,44
1996,50,0,54
2001,50,1,54
2002,90,1,39
2001,50,0,39
2002,100,1,29
1995,50,1,44
2008,90,0,54
1998,90,0,29
2004,50,0,49
2008,80,0,34
2002,90,0,39
1991,50,0,24
1998,50,0,75
2004,120,0,34
1994,50,1,44
1995,50,1,24
2008,50,1,34
2007,50,0,59
1991,50,0,29
1997,50,0,24
2006,50,1,39
2008,90,0,24
1999,50,0,44
1992,90,1,69
2004,50,0,20
2007,50,0,75
2005,50,0,44
1998,50,0,69
2008,50,0,75
2000,50,0,20
2006,50,0,39
1993,50,0,29
2009,120,0,24
2004,50,1,49
2002,50,1,34
2008,50,0,54
1997,50,0,39
2002,90,0,54
1988,90,0,29
1994,50,0,29
2007,50,0,29
1992,120,0,49
2000,50,0,44
2002,50,0,24
1992,30,0,20
1984,50,0,69
2009,50,0,29
1997,50,0,49
1998,50,0,44
1993,50,1,59
2000,50,0,54
2008,50,0,24
2002,50,1,44
2001,50,0,54
1988,50,0,34
2000,50,1,44
1990,50,0,39
2002,50,0,24
2002,50,1,39
2007,50,0,49
1991,50,0,74
2004,50,0,29
2008,50,0,29
2003,90,1,54
2006,90,1,34
2005,60,0,44
2000,50,0,29
2003,50,1,44
1993,50,1,20
2007,120,0,39
1988,50,1,39
2003,50,0,20
1990,50,0,49
1998,90,1,39
2009,120,0,74
1991,90,0,49
1998,50,0,49
2005,120,0,69
2002,90,1,39
1994,50,1,24
2000,50,1,34
2000,50,0,54
2000,90,0,49
2000,50,1,29
2007,90,0,39
1999,50,0,34
2005,50,0,39
2007,50,0,59
2005,40,1,44
1995,90,0,29
2003,50,0,39
1999,50,0,49
2002,50,0,69
1997,50,1,54
1991,50,0,69
2008,50,0,54
2008,50,0,59
2002,50,0,24
2005,120,1,34
2000,50,1,29
2000,50,0,69
2006,60,0,24
2004,50,0,20
1996,50,1,69
2008,50,0,20
1999,120,0,24
1999,90,1,29
2004,50,0,59
2004,50,0,54
1979,50,0,74
1993,50,1,54
1993,90,0,75
2004,50,0,34
2005,50,1,39
1993,50,1,20
2003,50,1,34
1990,50,1,39
2009,50,0,39
1996,50,0,44
2008,90,0,29
1994,50,0,39
1999,80,0,34
1999,90,0,39
2002,50,0,24
2003,50,0,75
1999,50,1,69
1987,50,0,74
1993,50,0,69
1998,50,1,44
2002,120,0,29
1996,50,1,34
2008,50,0,34
1996,50,0,49
2007,50,0,29
2002,50,1,17
2007,50,0,44
2002,100,0,34
1998,50,0,29
1998,90,0,44
2004,50,1,29
1992,90,0,44
2006,50,1,59
2007,50,0,74
1994,90,0,54
2002,50,0,74
1994,50,0,69
1983,50,1,75
1993,50,1,59
2006,50,0,29
1997,70,0,29
1990,50,0,34
2004,50,1,29
2005,90,0,49
2004,90,0,44
2005,50,1,34
1998,90,0,39
2002,50,1,39
2002,50,0,54
1993,50,0,44
1998,50,1,44
2007,50,0,29
1998,50,1,24
2004,50,0,44
2007,50,1,54
1996,90,0,24
2000,50,0,24
1995,50,1,20
1995,50,1,54
2005,120,0,49
1992,50,0,34
1996,50,0,24
2003,50,1,34
1989,50,0,54
1988,50,0,44
1994,90,0,49
2004,50,0,29
1998,50,0,39
2007,100,0,34
2000,50,0,59
2006,50,0,39
2008,50,1,34
2008,50,0,44
2009,50,0,29
2003,50,1,34
1995,50,0,29
2003,50,0,29
1992,50,1,34
1999,50,1,59
1986,50,0,69
2000,70,0,29
2010,50,0,69
2002,50,0,34
2005,50,0,44
1995,50,1,59
2005,90,0,29
2007,50,1,24
2010,50,0,39
2008,70,1,54
2004,50,1,29
2000,50,0,20
1991,50,1,24
1996,50,0,29
1999,70,1,24
2001,40,1,39
1994,50,0,75
2001,50,0,20
2009,50,1,20
2006,50,1,54
1996,50,0,59
2009,80,0,44
2009,50,1,49
2001,50,0,59
1995,50,0,29
2005,120,0,39
1990,50,0,69
1991,90,0,69
2007,50,0,59
1990,50,0,34
2004,50,0,49
1999,50,0,39
2002,50,0,29
2011,50,0,34
2000,40,0,34
1994,50,0,49
2002,60,1,29
2000,100,0,59
2007,50,0,69
2004,50,0,59
1998,50,1,29
1999,50,0,24
1997,50,0,75
1977,90,0,75
2010,120,0,24
2004,50,0,54
1995,50,0,34
2007,50,0,75
1994,50,0,39
1999,90,0,29
2002,50,1,29
2000,50,0,24
2002,120,1,34
1997,120,1,34
2010,50,1,59
2007,120,0,44
2005,70,0,69
1992,50,1,44
2002,50,0,59
2001,50,0,49
2001,120,1,34
2009,50,1,29
2003,50,0,54
2010,50,0,20
2005,70,0,34
1997,50,1,49
1992,50,0,34
2009,50,1,34
1998,50,0,29
2002,50,0,39
2004,50,0,34
2007,50,1,59
1999,50,0,54
1999,90,1,44
1990,50,1,34
2010,50,0,44
2008,50,1,39
2007,50,1,39
2009,50,0,75
1995,50,1,34
1979,50,0,49
2005,50,0,20
1998,90,1,49
2005,50,1,20
2010,50,0,24
1998,50,1,29
1997,50,0,20
2008,50,0,39
1994,50,0,59
1996,50,0,44
2005,50,0,34
2006,50,0,75
1993,50,0,34
2008,50,1,59
2000,50,1,54
2002,90,0,29
2006,50,0,29
1995,50,0,74
1998,50,0,34
1999,50,1,34
2011,50,0,49
1998,50,1,34
1999,50,0,75
1999,100,0,44
1997,50,1,39
1999,90,0,49
1996,50,0,29
1999,50,1,29
2008,50,1,39
2007,50,0,39
2010,50,0,34
1994,50,1,34
1997,120,1,34
2009,50,0,34
1998,50,0,54
2004,50,1,59
1993,50,0,69
2005,60,0,29
1990,50,0,75
1999,50,0,44
2009,50,1,29
2000,50,0,29
1997,50,1,20
1996,50,1,20
2011,90,0,34
2007,50,0,39
1994,50,0,39
1998,50,0,34
2003,50,0,54
2007,50,0,75
2001,50,0,34
1999,50,0,34
2002,50,0,24
2005,50,1,34
1997,90,0,75
2005,50,1,34
1999,90,0,59
2010,50,0,17
2005,50,0,59
2007,50,0,29
2008,50,0,39
1996,120,0,34
2010,50,0,49
2000,50,1,39
2002,90,0,49
1993,50,0,20
1998,50,1,44
2005,40,0,24
1998,50,1,49
1984,50,1,54
2003,50,0,24
2000,100,0,34
2007,90,0,75
2007,50,1,44
1994,50,1,34
2007,50,0,39
2010,50,0,39
1995,50,0,29
2006,50,0,75
1993,90,1,44
2004,120,1,34
2006,90,1,49
2009,50,0,54
1991,90,0,34
2001,50,0,54
2004,50,1,44
2009,50,0,44
2001,50,1,39
2008,50,0,49
1999,50,0,39
2002,50,0,49
2004,50,0,39
1990,90,0,74
1996,50,0,39
2001,50,1,29
1997,50,1,44
1995,50,1,44
1994,50,0,20
2004,80,1,39
2006,50,1,34
2010,50,0,44
1999,50,0,29
2007,50,0,44
1991,50,0,54
2007,50,0,39
2003,50,0,54
2009,50,0,39
2005,50,1,54
1998,50,1,49
1997,50,1,34
2003,50,1,59
2003,50,0,44
2010,40,0,20
2005,50,0,59
1989,50,0,24
1992,50,1,44
2006,50,1,44
1993,70,0,75
1998,90,1,29
1999,50,0,34
2006,70,0,39
1999,50,1,54
2005,50,0,29
2002,90,1,29
2004,50,0,59
2007,50,0,44
1987,50,0,44
1991,50,0,69
2003,50,0,34
1998,50,0,44
2006,100,0,34
2002,50,0,34
2008,50,0,34
2001,50,0,20
2004,100,1,34
2005,50,1,34
2004,90,0,39
1999,50,1,49
2006,50,0,20
2009,90,0,34
2003,50,0,34
2002,50,1,54
2005,50,0,24
1995,50,0,39
1996,50,0,74
2005,50,1,39
1997,50,0,59
1990,50,0,54
2009,50,0,49
1995,50,0,44
2007,50,0,34
2008,50,0,44
1999,50,0,49
2001,50,0,74
1996,50,0,29
1988,50,0,24
1997,50,0,59
2010,50,1,59
2000,50,0,39
2005,50,0,59
2009,60,0,29
2008,50,0,74
2003,50,0,34
1999,50,0,24
1997,50,0,39
1995,50,0,20
1999,50,0,24
2000,50,0,29
1998,120,0,20
1987,50,0,74
1997,40,0,39
1986,80,0,39
2006,50,0,34
2005,90,0,44
1999,90,0,20
2005,50,0,54
1989,90,0,54
2007,50,1,29
2004,120,1,34
1992,50,0,24
1979,50,0,75
1999,50,1,39
1996,50,0,29
1992,120,0,29
2006,90,0,44
2001,50,0,39
2005,90,0,39
2000,50,0,34
1992,50,1,39
2008,90,1,34
2010,50,0,29
1993,50,0,74
2005,50,0,49
2000,80,1,39
2002,50,1,20
2005,50,1,34
1998,50,0,24
2000,50,0,59
2001,50,1,39
2010,120,0,39
1997,50,0,29
1983,50,0,59
2010,90,0,39
1995,50,0,69
2007,50,0,34
1987,90,0,34
2003,50,1,34
2001,50,0,44
2000,70,0,24
1992,50,1,54
1998,50,1,24
2008,50,0,54
1998,50,0,59
1900,50,0,75
1991,50,1,20
2005,50,1,34
2003,50,0,17
2008,120,0,20
2000,50,0,39
1977,70,0,54
1983,90,0,54
2005,50,0,69
2002,50,0,54
2002,50,0,39
2004,70,1,24
2003,120,1,29
2009,50,0,49
1992,90,0,74
2001,90,0,39
2003,50,0,44
2000,50,0,34
1994,120,0,29
2006,50,0,24
1980,90,0,74
2001,50,0,39
2005,50,1,44
2006,60,1,34
1998,50,1,20
1997,50,1,44
1980,90,0,39
2000,50,1,74
1991,120,0,54
2004,40,0,39
1995,90,0,54
2000,80,0,49
1997,50,1,44
2002,50,0,49
2009,50,1,44
2003,120,0,44
1997,70,0,54
2001,50,0,59
1999,50,0,20
1989,50,0,44
2001,50,0,39
1996,50,0,69
1999,50,0,39
2005,50,0,29
2009,120,0,39
1998,50,1,29
1995,50,0,54
1993,50,1,49
2008,50,1,59
2000,50,1,34
2005,50,0,39
2008,50,0,54
2005,50,0,34
2009,50,0,34
2001,120,0,49
1983,50,1,75
1999,50,0,44
2000,50,0,29
2004,120,1,34
1998,50,0,54
1991,50,1,54
1985,50,0,69
2005,60,0,49
2005,50,0,24
1997,50,1,24
1999,50,1,39
2004,80,0,24
1989,50,0,49
2003,50,0,44
2003,50,0,34
1996,90,0,59
1997,50,1,39
1996,90,0,54
1993,90,0,24
2001,50,0,75
1996,50,0,54
2002,120,1,49
1993,50,1,54
2008,120,0,29
1999,50,0,34
1993,50,1,24
2007,50,0,69
2010,40,0,75
1997,50,0,69
2008,100,0,49
2006,90,0,34
2001,50,1,44
2000,90,1,24
1990,120,0,44
2009,120,1,49
1994,90,0,49
2002,50,0,34
